Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Female Sneakers Walking-Shoes Lace-Up Pink Outdoor Fashion Woman Breathable Mesh,5.13,7.2,354,4.7,7.08,WDHKUN Official Store,https://www.aliexpress.com/item/4000455478776.html
Sneakers Female Tenis Vulcanize Feminino Casual Fashion Woman New Soft Mesh,5.71,7.3,18,0,4.94,Healthy Sexy Life Store,https://www.aliexpress.com/item/4001084630157.html
Mens Sneakers Vulcanized-Shoes Wedges Plus-Size Fashion Breathable Summer Mesh for 38-44,5.24,6.62,278,4.5,8.91,WDHKUN Official Store,https://www.aliexpress.com/item/4000236116801.html
Bling Sneakers Shoes Women Spring Knitted Elastic Colorful Autumn Fashion Mesh Lace-Up,16.2,16.2,353,4.8,0,Shop4825015 Store,https://www.aliexpress.com/item/33051914596.html
New 1 High OG Bred Toe Chicago Basketball shoes Spiderman UNC Mens Homage To Home Royal Blue Men Designer jordan Sneakers,48,48,4,0,5.86,wholesaletopshoes Store,https://www.aliexpress.com/item/4001092978911.html
Flat-Shoes Loafers Sneakers Stripe Slip-On Fashion Women Mesh Cotton Patchwork for Walking,6.38,7.92,421,4.7,0,Shop5260171 Store,https://www.aliexpress.com/item/4000249037210.html
Women's Shoes Fresh Super-Good-Looking 2000 Pure Summer And Small Spring Splicing-Style,44.33,44.33,102,5,4.67,Oein. Store,https://www.aliexpress.com/item/4000858001982.html
Vulcanize-Shoes Sneakers Sport-Shoes Air-Cushion Comfort Outdoor Breathable Women Mesh,6.15,13.47,15,0,0,Skywalking Store,https://www.aliexpress.com/item/4001112948690.html
Men Sneakers Tenis Casual-Shoes Black Breathable Men's Fashion Zapatillas Masculino Hombre,5.59,11.57,296,4.5,0,DropshippingBest Store,https://www.aliexpress.com/item/4000416871369.html
Summer Men's Slippers Slides EVA Men Shoes Couple Flip Flops Soft Black And White Stripes Casual Slippers Male Chaussures Femme,10.99,13.97,12,0,0,todaysunny footwear Store,https://www.aliexpress.com/item/4001119263537.html
Women Shoes Tenis Sport-Basket Feminino Walking White Femme Casual New Outdoor Weightlight,8.26,11.62,151,4.7,1.58,YOUDEYISI Store,https://www.aliexpress.com/item/4000932140683.html
Sneakers Light-Shoes Sapato Artificial-Leather Casual Men Breathable Male Spring Flats,13.47,13.47,327,4.6,0.53,WIENJEE Factory Store,https://www.aliexpress.com/item/4000565955389.html
Shoes Footwear Mocassin Wedding-Flats Oxford Office Business Formal Breathable Men Luxury,12.35,19.32,588,4.6,0,MOSHU Official Store,https://www.aliexpress.com/item/32982133633.html
Women Shoes Sandals Mesh Spring Sexy Heels Summer Pumps Peep-Toe Europe-America Gauze-Mujer,8.39,12.59,3240,4.8,0.63,loves sneakers Store,https://www.aliexpress.com/item/32999102238.html
Big Size shoes Women high heels 2020 star brand wedding shoe fashion party pumps Golden paillette heels Female zapatos de mujer,21.39,24.36,27,4.2,0,China Ailian shoe Store,https://www.aliexpress.com/item/32996237550.html
Men Sandals Flip-Flops Man Shoes Camouflage Summer Fashion Slipper Comfortable Flat Casual,8.12,11.8,104,4.6,0,FHLYIY Official Store,https://www.aliexpress.com/item/4000013714867.html
